Country,2000,2005,2010,2018
Afghanistan,1600,2900,4200,7200
Albania,0,0,0,0
Algeria,1900,3700,7100,16000
Angola,87000,150000,220000,330000
Argentina,64000,85000,110000,140000
Armenia,950,2700,3300,3500
Australia,13000,16000,21000,28000
Austria,0,0,0,0
Azerbaijan,0,0,0,0
Bahamas,5100,5100,5800,6000
Bahrain,0,0,0,0
Bangladesh,940,4000,7700,14000
Barbados,1100,1700,2300,3000
Belarus,1400,5400,12000,27000
Belgium,0,0,0,0
Belize,1700,2800,3700,4900
Benin,47000,56000,61000,73000
Bhutan,530,1100,1300,1300
Bolivia ,21000,26000,23000,22000
Bosnia ,100,200,200,500
Botswana,280000,310000,340000,370000
Brazil,410000,550000,670000,900000
Brunei Darussalam,0,0,0,0
Bulgaria,500,980,1700,3500
Burkina Faso,140000,120000,110000,96000
Burundi,130000,110000,93000,82000
Cabo Verde,1600,1800,2100,2400
Cambodia,81000,82000,79000,73000
Cameroon,370000,470000,520000,540000
Canada,0,0,0,0
Central African Republic,160000,150000,140000,110000
Chad,80000,88000,99000,120000
Chile,14000,25000,39000,71000
China,0,0,0,0
Colombia,110000,120000,130000,160000
Comoros,100,100,200,200
Congo,80000,77000,82000,89000
Costa Rica,4300,6500,9300,15000
Cote d'Ivoire,590000,510000,480000,460000
Croatia,500,710,1000,1600
Cuba,4100,9000,17000,31000
Cyprus,0,0,0,0
Czechia,510,970,1800,4400
Democratic People's Republic of Korea,0,0,0,0
Democratic Republic of the Congo,540000,510000,480000,450000
Denmark,4000,4900,5500,6200
Djibouti,9400,11000,9400,8800
Dominican Republic,85000,79000,72000,70000
Ecuador,26000,29000,34000,44000
Egypt,1500,3200,6800,22000
El Salvador,18000,23000,26000,25000
Equatorial Guinea,13000,22000,35000,62000
Eritrea,16000,17000,17000,18000
Estonia,3400,5400,6000,7400
Eswatini,110000,130000,160000,210000
Ethiopia,750000,640000,630000,690000
Fiji,0,0,0,0
Finland,1100,1900,2700,4000
France,82000,110000,140000,180000
Gabon,28000,35000,43000,53000
Gambia,9900,15000,18000,26000
Georgia,980,2800,5600,9400
Germany,45000,56000,69000,87000
Ghana,270000,280000,300000,330000
Greece,0,0,0,0
Guatemala,44000,48000,49000,47000
Guinea,83000,93000,100000,120000
Guinea-Bissau,22000,31000,38000,44000
Guyana,2300,5000,6700,8200
Haiti,150000,140000,140000,160000
Honduras,40000,31000,26000,23000
Hungary,830,1200,2000,3700
Iceland,100,200,500,500
India,0,0,0,0
Indonesia,80000,290000,510000,640000
Iran ,16000,37000,50000,61000
Ireland,1900,3200,4800,7200
Israel,2700,4100,6000,9000
Italy,68000,89000,110000,130000
Jamaica,41000,38000,37000,40000
Japan,6200,12000,19000,30000
Jordan,100,200,200,500
Kazakhstan,1100,4000,11000,26000
Kenya,1700000,1500000,1500000,1600000
Kuwait,200,500,500,640
Kyrgyzstan,710,1500,4100,8500
Lao People's Democratic Republic,2200,6700,9900,12000
Latvia,2300,3200,4000,5300
Lebanon,910,1300,1600,2500
Lesotho,260000,280000,300000,340000
Liberia,43000,41000,41000,39000
Libya,950,2900,6100,9200
Lithuania,0,0,0,0
Luxembourg,500,500,700,1200
Madagascar,13000,19000,21000,39000
Malawi,810000,820000,870000,1000000
Malaysia,55000,66000,74000,87000
Maldives,0,0,0,0
Mali,110000,110000,120000,150000
Malta,0,0,0,0
Mauritania,5500,7500,7100,5600
Mauritius,3200,8000,11000,13000
Mexico,130000,150000,180000,230000
Mongolia,100,500,500,600
Montenegro,100,100,200,500
Morocco,9700,13000,17000,21000
Mozambique,840000,1200000,1600000,2200000
Myanmar,150000,210000,220000,240000
Namibia,140000,160000,170000,200000
Nepal,16000,29000,31000,30000
Netherlands,11000,16000,20000,0
New Zealand,1300,1800,2500,3600
Nicaragua,3600,6100,7900,9400
Niger,37000,40000,37000,36000
Nigeria,1300000,1400000,1500000,1900000
Norway,1900,3000,4200,5800
Oman,1300,1700,2200,3200
Pakistan,500,12000,67000,160000
Panama,11000,16000,20000,26000
Papua New Guinea,20000,38000,38000,45000
Paraguay,14000,19000,20000,21000
Peru,71000,65000,65000,79000
Philippines,1000,3700,15000,77000
Poland,0,0,0,0
Portugal,32000,37000,40000,41000
Qatar,0,0,0,0
Republic of Korea,0,0,0,0
Republic of Moldova,10000,12000,16000,17000
Republic of North Macedonia,100,100,200,500
Romania,7500,11000,14000,18000
Russian Federation,0,0,0,0
Rwanda,240000,220000,220000,220000
Saudi Arabia,0,0,0,0
Senegal,33000,42000,44000,42000
Serbia,1000,1100,1800,3000
Sierra Leone,40000,51000,58000,70000
Singapore,2900,4100,6500,7900
Slovakia,200,500,500,1200
Slovenia,0,0,0,0
Somalia,16000,20000,17000,11000
South Africa,3300000,5000000,6100000,7700000
South Sudan,90000,120000,140000,190000
Spain,92000,120000,140000,150000
Sri Lanka,2200,3600,4000,3500
Sudan,15000,29000,43000,59000
Suriname,3100,4000,4600,5600
Sweden,0,0,0,0
Switzerland,0,0,0,0
Syrian Arab Republic,500,500,570,660
Tajikistan,1400,5200,9200,13000
Thailand,740000,630000,580000,480000
Timor-Leste,0,0,0,0
Togo,94000,100000,100000,110000
