Area,Country*,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Cumulative total**,,,,,,
EU/EEA,,,,,,,,,,,,,,,,,,
West,Austria,20,23,30,18,14,13,25,14,18,18,867,,,,,,
West,Belgium,7,3,8,5,3,4,1,2,,,282,,,,,,
Centre,Bulgaria,0,1,4,7,10,17,39,29,26,11,146,,,,,,
Centre,Croatia,1,1,0,0,1,1,1,0,0,1,26,,,,,,
Centre,Cyprus,0,0,0,0,0,0,0,0,0,0,3,,,,,,
Centre,Czech Republic,4,3,6,2,4,1,2,2,2,3,37,,,,,,
West,Denmark,3,3,6,3,4,4,4,5,1,0,250,,,,,,
East,Estonia,23,45,41,26,14,20,15,9,6,4,245,,,,,,
West,Finland,1,8,1,2,3,0,4,2,0,0,55,,,,,,
West,France,106,87,85,56,60,60,44,36,24,20,13833,,,,,,
West,Germany,82,62,54,46,35,41,40,30,17,8,4324,,,,,,
West,Greece,5,3,3,6,3,8,22,41,43,28,269,,,,,,
Centre,Hungary,0,1,0,0,0,0,0,0,0,2,8,,,,,,
West,Iceland,0,0,0,0,0,0,0,0,0,0,5,,,,,,
West,Ireland,9,10,11,8,6,10,3,1,0,0,374,,,,,,
West,Italy,398,383,318,275,228,194,180,178,111,81,34841,,,,,,
East,Latvia,51,45,60,49,70,57,70,62,73,51,886,,,,,,
,Liechetenstein,0,0,0,0,0,0,0,0,0,0,7,,,,,,
East,Lithuania,18,20,36,22,20,9,21,21,17,15,217,,,,,,
West,Luxembourg,0,2,0,0,0,1,0,1,1,1,42,,,,,,
West,Malta,2,0,0,0,0,0,0,0,1,0,4,,,,,,
West,Netherlands,11,13,7,10,7,8,4,3,1,4,338,,,,,,
West,Norway,4,0,2,1,3,0,1,1,0,0,155,,,,,,
Centre,Poland,89,79,74,55,70,61,55,43,27,28,1509,,,,,,
West,Portugal,360,292,265,231,217,156,150,103,50,33,9249,,,,,,
Centre,Romania,4,3,3,5,12,27,59,79,103,93,396,,,,,,
Centre,Slovakia,0,0,0,0,0,0,0,0,0,0,1,,,,,,
Centre,Slovenia,0,0,0,0,0,0,0,0,1,0,7,,,,,,
West,Spain,751,673,539,454,356,310,254,186,119,68,50009,,,,,,
West,Sweden,3,6,,,,,,,,,242,,,,,,
West,United Kingdom,25,31,27,21,27,15,11,10,15,10,1533,,,,,,
,total EU-EEA,1977,1797,1580,1302,1167,1018,1005,858,656,479,120160,,,,,,
Non-EU/EEA,,,,,,,,,,,,,,,,,,
Centre,Albania,0,1,0,0,0,1,0,0,1,0,3,,,,,,
West,Andorra,0,0,1,0,0,0,0,0,0,0,2,,,,,,
East,Armenia,28,25,30,33,41,33,42,24,34,22,382,,,,,,
East,Azerbaijan,13,131,50,69,160,148,159,123,109,90,1109,,,,,,
East,Belarus,216,198,191,265,208,266,242,193,150,139,2262,,,,,,
Centre,Bosnia and Herzegovina,1,1,0,0,0,0,0,0,,,18,,,,,,
Centre,"Former Yugoslav Republic of Macedonia, the",2,1,0,0,0,0,0,0,0,0,9,,,,,,
East,Georgia,105,103,134,170,186,191,160,141,117,99,1673,,,,,,
West,Israel,14,9,12,7,3,7,9,15,11,7,243,,,,,,
East,Kazakhstan,102,99,122,115,171,147,153,154,147,150,1659,,,,,,
East,Kyrgyzstan,19,20,27,53,102,58,55,38,40,73,530,,,,,,
East,Moldova,45,101,55,103,95,101,17,22,28,22,745,,,,,,
West,Monaco,0,0,0,0,0,0,0,0,0,0,19,,,,,,
Centre,Montenegro,0,0,0,0,0,0,1,0,0,0,4,,,,,,
East,Russia,,,,,,,,,,,0,,,,,,
West,San Marino,0,0,0,0,0,0,0,0,0,0,6,,,,,,
Centre,Serbia,7,12,6,11,6,12,5,9,5,5,664,,,,,,
Centre,Serbia excluding Kosovo***,7,12,6,11,6,12,5,9,5,5,663,,,,,,
Centre,Kosovo***,,,,,,,,,,,1,,,,,,
West,Switzerland,29,21,19,14,11,17,6,9,3,2,3305,,,,,,
East,Tajikistan,13,15,32,38,63,61,55,58,65,62,471,,,,,,
Centre,Turkey,1,2,1,4,2,2,1,1,2,0,61,,,,,,
East,Turkmenistan,0,0,0,0,0,0,0,,,,0,,,,,,
East,Ukraine,3360,3086,2868,2732,3458,4979,4933,4273,3856,3050,41654,,,,,,
East,Uzbekistan,9,20,116,70,131,,,,,,380,,,,,,
,total Non EU-EEA,3964,3845,3664,3684,4637,6023,5838,5060,4568,3721,55199,,,,,,
WHO European Region ,,,,,,,,,,,,,,,,,,
West,West,1830,1629,1388,1157,980,848,758,637,415,280,120247,,,,,,
Centre,Centre,109,105,94,84,105,122,163,163,167,143,2892,,,,,,
East,East,4002,3908,3762,3745,4719,6070,5922,5118,4642,3777,52213,,,,,,
,total WHO European Region,5941,5642,5244,4986,5804,7040,6843,5918,5224,4200,175352,,,,,,
*Country-specific comments are in Annex 5,,,,,,,,,,,,,,,,,,
** Cumulative total is the total number of cases reported by the country since the start of reporting,,,,,,,,,,,,,,,,,,
"*** Without prejudice to positions on status, and in line with UNSCR 1244 and the ICJ Opinion on the Kosovo Declaration of Independence",,,,,,,,,,,,,,,,,,
Source: European Centre for Disease Prevention and Control/WHO Regional Office for Europe.  HIV/AIDS surveillance in Europe 2015. Stockholm: ECDC; 2016,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
