Area,Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Cumulative total**,,,
West,Austria,34,37,28,31,32,32,27,22,25,19,1018,,,
West,Belgium,25,25,22,34,31,29,22,20,,,1412,,,
Centre,Bulgaria,4,4,4,4,5,2,8,12,9,12,88,,,
Centre,Croatia,11,6,12,17,19,18,22,11,18,12,249,,,
Centre,Cyprus,2,4,4,4,4,0,1,2,4,2,109,,,
Centre,Czech Republic,3,8,7,10,9,13,12,14,9,16,222,,,
West,Denmark,17,13,16,12,15,13,13,11,10,11,1727,,,
East,Estonia,1,0,1,0,0,0,1,0,1,0,27,,,
West,Finland,8,13,10,6,7,6,2,4,6,7,299,,,
West,France,293,247,258,264,251,238,193,198,144,99,28115,,,
West,Germany,343,317,273,280,253,216,215,192,155,76,18038,,,
West,Greece,38,44,57,49,63,54,50,48,38,53,2049,,,
Centre,Hungary,10,12,16,13,23,24,37,30,37,31,582,,,
West,Iceland,2,0,1,0,0,0,0,0,0,0,43,,,
West,Ireland,8,7,8,10,13,17,15,6,18,15,402,,,
West,Italy,309,316,299,293,252,265,261,302,261,265,11869,,,
East,Latvia,3,3,3,7,10,7,4,10,7,5,112,,,
,Liechetenstein,0,0,0,0,0,0,0,0,1,0,2,,,
East,Lithuania,1,2,7,1,0,1,2,5,3,3,73,,,
West,Luxembourg,2,2,0,1,2,6,3,7,3,3,130,,,
West,Malta,3,0,1,0,0,1,0,1,1,0,42,,,
West,Netherlands,126,137,132,136,129,116,124,118,95,66,3046,,,
West,Norway,11,2,6,7,9,9,10,15,18,4,508,,,
Centre,Poland,14,19,28,25,29,42,25,46,40,20,647,,,
West,Portugal,86,86,107,83,84,88,87,59,50,50,2762,,,
Centre,Romania,10,6,9,15,13,13,7,15,24,17,187,,,
Centre,Slovakia,3,2,0,1,1,3,3,2,2,2,45,,,
Centre,Slovenia,4,6,7,10,7,7,8,7,10,7,137,,,
West,Spain,301,302,324,315,358,333,334,257,223,165,13131,,,
West,Sweden,9,17,,,,,,,,,1086,,,
West,United Kingdom,244,255,229,191,202,146,158,115,128,147,15090,,,
,United States,1925,1892,1869,1819,1822,1699,1644,1529,1340,1107,103247,,,
Non-EU/EEA,,,,,,,,,,,,,,,
Centre,Albania,0,2,6,6,1,5,6,6,8,8,56,,,
West,Andorra,0,1,1,0,0,1,0,1,1,1,6,,,
East,Armenia,0,1,3,0,1,2,2,5,7,1,23,,,
East,Azerbaijan,0,2,1,1,4,1,1,3,1,1,16,,,
East,Belarus,0,0,0,0,2,6,3,3,4,3,24,,,
Centre,Bosnia and Herzegovina,0,0,0,0,5,2,4,3,,,28,,,
Centre,"Former Yugoslav Republic of Macedonia, the",2,2,2,1,1,4,3,3,5,2,39,,,
East,Georgia,3,3,7,3,10,11,11,16,21,24,128,,,
West,Israel,9,5,5,8,6,8,4,8,11,4,314,,,
East,Kazakhstan,0,1,0,0,1,1,0,4,0,2,12,,,
East,Kyrgyzstan,0,1,0,0,0,0,0,0,0,0,1,,,
East,Moldova,0,2,0,2,2,2,0,0,2,2,14,,,
West,Monaco,0,0,0,0,0,0,0,0,1,0,22,,,
Centre,Montenegro,3,2,2,4,5,1,4,3,3,8,45,,,
East,Russia,,,,,,,,,,,0,,,
West,San Marino,0,0,0,0,0,1,2,0,0,0,11,,,
Centre,Serbia,18,13,17,26,22,22,31,20,27,28,421,,,
Centre,Serbia excluding Kosovo***,18,12,15,25,22,21,30,19,27,26,411,,,
Centre,Kosovo***,0,1,2,1,0,1,1,1,0,2,10,,,
West,Switzerland,43,63,49,45,61,35,33,32,21,14,3292,,,
East,Tajikistan,0,0,0,0,0,0,0,1,1,0,2,,,
Centre,Turkey,4,5,11,2,3,0,0,12,15,12,120,,,
East,Turkmenistan,0,0,0,0,0,0,0,,,,0,,,
East,Ukraine,8,9,10,10,10,31,45,50,55,72,311,,,
East,Uzbekistan,0,0,0,0,0,,,,,,1,,,
,total Non EU-EEA,90,112,114,108,134,133,149,170,183,182,4886,,,
WHO European Region,,,,,,,,,,,,,,,
West,West,1911,1889,1826,1765,1769,1614,1553,1416,1209,999,104412,,,
Centre,Centre,88,91,125,138,147,156,171,186,211,177,2975,,,
East,East,16,24,32,24,40,62,69,97,102,113,744,,,
,total WHO European Region,2015,2004,1983,1927,1956,1832,1793,1699,1522,1289,108131,,,
,,,,,,,,,,,,,,,
