Area,Country*,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Cumulative total**,,,
West,Austria,0,1,1,2,0,1,0,0,0,0,13,,,
West,Belgium,1,4,4,1,0,0,0,0,,,122,,,
Centre,Bulgaria,0,0,0,0,2,1,0,3,0,0,7,,,
Centre,Croatia,0,0,0,0,0,1,0,0,0,0,4,,,
Centre,Cyprus,0,0,0,0,0,0,0,0,0,0,2,,,
Centre,Czech Republic,0,0,0,0,0,0,0,0,0,0,0,,,
West,Denmark,2,0,0,0,1,0,0,1,0,0,25,,,
East,Estonia,0,0,0,0,0,0,0,0,0,0,2,,,
West,Finland,0,1,0,0,0,0,0,0,1,0,7,,,
West,France,6,8,9,10,5,8,11,10,2,2,781,,,
West,Germany,1,2,0,0,1,3,2,1,1,0,118,,,
West,Greece,1,0,0,0,1,0,0,0,0,0,24,,,
Centre,Hungary,0,0,0,1,0,0,1,0,0,1,5,,,
West,Iceland,0,0,0,0,0,0,0,0,0,0,0,,,
West,Ireland,0,1,3,1,1,0,0,1,0,0,36,,,
West,Italy,9,2,2,5,3,3,4,7,2,0,738,,,
East,Latvia,2,0,5,1,0,2,1,2,0,0,18,,,
East,Lithuania,0,0,0,0,0,0,0,1,0,0,1,,,
West,Luxembourg,0,0,0,0,0,0,1,0,0,0,4,,,
West,Malta,0,0,0,0,0,0,0,0,0,0,1,,,
West,Netherlands,1,5,3,2,5,2,1,2,2,2,79,,,
West,Norway,0,0,0,0,0,0,0,1,0,0,7,,,
Centre,Poland,4,1,5,7,1,3,1,0,1,1,69,,,
West,Portugal,4,3,5,2,1,1,1,3,1,0,120,,,
Centre,Romania,7,6,7,13,8,11,11,16,8,6,304,,,
Centre,Slovakia,0,0,0,0,0,0,0,0,0,0,0,,,
Centre,Slovenia,0,0,0,0,0,0,0,0,0,0,2,,,
West,Spain,7,10,8,8,3,3,3,4,1,0,976,,,
West,Sweden,1,2,,,,,,,,,22,,,
West,United Kingdom,27,25,29,24,14,9,4,5,3,5,715,,,
,United States,73,71,81,77,46,48,41,57,22,17,4202,,,
Centre,Albania,0,1,0,0,0,1,2,4,0,0,9,,,
West,Andorra,0,0,0,0,0,0,0,0,0,0,0,,,
East,Armenia,1,1,0,2,1,1,0,4,7,2,22,,,
East,Azerbaijan,0,2,0,2,1,1,3,3,2,0,14,,,
East,Belarus,10,7,12,10,13,12,4,3,9,10,116,,,
Centre,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,,,0,,,
Centre,"Former Yugoslav Republic of Macedonia, the",0,1,0,0,1,0,1,1,0,0,6,,,
East,Georgia,1,13,10,4,11,8,1,3,2,0,63,,,
West,Israel,2,1,1,1,1,1,1,1,0,0,39,,,
East,Kazakhstan,2,1,3,15,5,4,3,5,1,5,46,,,
East,Kyrgyzstan,1,0,2,0,0,3,4,1,0,5,16,,,
East,Moldova,4,7,6,1,3,3,1,9,3,3,47,,,
West,Monaco,0,0,0,0,0,0,0,0,0,0,0,,,
Centre,Montenegro,0,0,0,0,0,0,0,0,0,0,1,,,
East,Russia,,,,,,,,,,,0,,,
West,San Marino,0,0,0,0,0,0,0,0,0,0,0,,,
Centre,Serbia,1,1,2,1,1,0,1,1,0,1,28,,,
Centre,Serbia excluding Kosovo***,1,1,2,1,1,0,0,1,0,0,26,,,
Centre,Kosovo***,0,0,0,0,0,0,1,0,0,1,2,,,
West,Switzerland,0,1,0,1,2,0,1,1,0,0,109,,,
East,Tajikistan,0,1,1,3,0,3,4,7,7,6,32,,,
Centre,Turkey,0,0,0,2,0,0,1,0,1,3,16,,,
East,Turkmenistan,0,0,0,0,0,0,0,,,,0,,,
East,Ukraine,122,110,73,86,129,118,88,59,60,48,1126,,,
East,Uzbekistan,2,3,6,3,8,,,,,,22,,,
,total Non EU-EEA,146,150,116,131,176,155,115,102,92,83,1712,,,
West,West,62,66,65,57,38,31,29,37,13,9,3936,,,
Centre,Centre,12,10,14,24,13,17,18,25,10,12,453,,,
East,East,145,145,118,127,171,155,109,97,91,79,1525,,,
,total WHO European Region,219,221,197,208,222,203,156,159,114,100,5914,,,
