Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Cumulative total**,,,
Austria,34,37,28,31,32,32,27,22,25,19,1018,,,
Belgium,25,25,22,34,31,29,22,20,,,1412,,,
Bulgaria,4,4,4,4,5,2,8,12,9,12,88,,,
Croatia,11,6,12,17,19,18,22,11,18,12,249,,,
Cyprus,2,4,4,4,4,0,1,2,4,2,109,,,
Czech Republic,3,8,7,10,9,13,12,14,9,16,222,,,
Denmark,17,13,16,12,15,13,13,11,10,11,1727,,,
Estonia,1,0,1,0,0,0,1,0,1,0,27,,,
Finland,8,13,10,6,7,6,2,4,6,7,299,,,
France,293,247,258,264,251,238,193,198,144,99,28115,,,
Germany,343,317,273,280,253,216,215,192,155,76,18038,,,
Greece,38,44,57,49,63,54,50,48,38,53,2049,,,
Hungary,10,12,16,13,23,24,37,30,37,31,582,,,
Iceland,2,0,1,0,0,0,0,0,0,0,43,,,
Ireland,8,7,8,10,13,17,15,6,18,15,402,,,
Italy,309,316,299,293,252,265,261,302,261,265,11869,,,
Latvia,3,3,3,7,10,7,4,10,7,5,112,,,
Liechetenstein,0,0,0,0,0,0,0,0,1,0,2,,,
Lithuania,1,2,7,1,0,1,2,5,3,3,73,,,
Luxembourg,2,2,0,1,2,6,3,7,3,3,130,,,
Malta,3,0,1,0,0,1,0,1,1,0,42,,,
Netherlands,126,137,132,136,129,116,124,118,95,66,3046,,,
Norway,11,2,6,7,9,9,10,15,18,4,508,,,
Poland,14,19,28,25,29,42,25,46,40,20,647,,,
Portugal,86,86,107,83,84,88,87,59,50,50,2762,,,
Romania,10,6,9,15,13,13,7,15,24,17,187,,,
Slovakia,3,2,0,1,1,3,3,2,2,2,45,,,
Slovenia,4,6,7,10,7,7,8,7,10,7,137,,,
Spain,301,302,324,315,358,333,334,257,223,165,13131,,,
Sweden,9,17,,,,,,,,,1086,,,
United Kingdom,244,255,229,191,202,146,158,115,128,147,15090,,,
United States,1925,1892,1869,1819,1822,1699,1644,1529,1340,1107,103247,,,
Albania,0,2,6,6,1,5,6,6,8,8,56,,,
Andorra,0,1,1,0,0,1,0,1,1,1,6,,,
Armenia,0,1,3,0,1,2,2,5,7,1,23,,,
Azerbaijan,0,2,1,1,4,1,1,3,1,1,16,,,
Belarus,0,0,0,0,2,6,3,3,4,3,24,,,
Bosnia and Herzegovina,0,0,0,0,5,2,4,3,,,28,,,
"Former Yugoslav Republic of Macedonia, the",2,2,2,1,1,4,3,3,5,2,39,,,
Georgia,3,3,7,3,10,11,11,16,21,24,128,,,
Israel,9,5,5,8,6,8,4,8,11,4,314,,,
Kazakhstan,0,1,0,0,1,1,0,4,0,2,12,,,
Kyrgyzstan,0,1,0,0,0,0,0,0,0,0,1,,,
Moldova,0,2,0,2,2,2,0,0,2,2,14,,,
Monaco,0,0,0,0,0,0,0,0,1,0,22,,,
Montenegro,3,2,2,4,5,1,4,3,3,8,45,,,
Russia,,,,,,,,,,,0,,,
San Marino,0,0,0,0,0,1,2,0,0,0,11,,,
Serbia,18,13,17,26,22,22,31,20,27,28,421,,,
Serbia excluding Kosovo***,18,12,15,25,22,21,30,19,27,26,411,,,
Kosovo***,0,1,2,1,0,1,1,1,0,2,10,,,
Switzerland,43,63,49,45,61,35,33,32,21,14,3292,,,
Tajikistan,0,0,0,0,0,0,0,1,1,0,2,,,
Turkey,4,5,11,2,3,0,0,12,15,12,120,,,
Turkmenistan,0,0,0,0,0,0,0,,,,0,,,
Ukraine,8,9,10,10,10,31,45,50,55,72,311,,,
Uzbekistan,0,0,0,0,0,,,,,,1,,,
West,1911,1889,1826,1765,1769,1614,1553,1416,1209,999,104412,,,
Centre,88,91,125,138,147,156,171,186,211,177,2975,,,
East,16,24,32,24,40,62,69,97,102,113,744,,,
,,,,,,,,,,,,,,
