,2006 Female,2006 Male,2006 Total**,2007 Female,2007 Male,2007 Total**,2008 Female,2008 Male,2008 Total**,2009 Female,2009 Male,2009 Total**,2010 Female,2010 Male,2010 Total**,2011 Female,2011 Male,2011 Total**,2012 Female,2012 Male,2012 Total**,2013 Female,2013 Male,2013 Total**,2014 Female,2014 Male,2014 Total**,2015 Female,2015 Male,2015 Total**,Cumulative Female,Cumulative Male,Cumulative Unknown,Cumulative Total 
EU/EEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<15,168,149,317,172,134,309,143,149,292,140,112,252,153,117,270,127,115,244,124,99,224,101,100,202,104,89,195,108,97,206,7611,9383,80,17074
15-19,354,272,626,330,272,603,295,292,590,255,271,526,209,275,484,202,268,470,190,314,505,181,271,453,186,316,503,182,266,448,6398,7594,35,14027
20-24,900,1165,2070,913,1384,2306,838,1418,2271,764,1452,2224,698,1635,2338,676,1612,2290,584,1813,2402,561,1790,2355,518,1714,2235,440,1651,2095,17685,32984,159,50828
25-29,1694,2346,4054,1607,2652,4288,1472,2614,4103,1299,2542,3863,1164,2492,3670,1102,2789,3892,1040,2899,3949,948,2973,3926,881,2996,3885,870,2873,3752,28920,59437,312,88666
30-39,3031,6086,9146,2866,6103,9007,2808,6033,8891,2506,5746,8288,2314,5640,7986,2318,5750,8072,2272,5925,8216,2136,6000,8147,2221,5685,7924,1916,5411,7343,48791,125935,542,175265
40-49,1341,4238,5588,1404,4444,5872,1488,4775,6277,1348,4625,5988,1448,4442,5907,1301,4510,5818,1325,4585,5917,1323,4394,5728,1281,4317,5609,1165,3856,5029,21568,77506,244,99316
50+,787,2219,3007,757,2496,3261,908,2631,3540,922,2753,3679,950,2839,3796,873,2924,3799,992,3072,4064,999,3158,4160,1081,3297,4384,894,2994,3896,13732,46906,107,60743
Unknown,162,343,535,16,84,138,22,78,152,17,68,127,11,52,130,5,45,115,14,57,98,9,32,77,4,29,69,5,51,106,2082,5559,2121,9762
<15,73,109,382,110,141,481,122,135,488,79,115,363,68,98,343,115,154,405,164,248,561,116,180,407,146,165,433,191,191,382,1713,2161,1758,5632
15-19,396,166,563,446,123,569,400,100,502,388,93,481,322,101,423,295,81,376,282,80,362,245,97,342,236,113,349,232,139,371,6600,4696,17,11313
20-24,326,383,709,448,522,972,1811,1120,2934,1824,1078,2902,1554,1136,2690,1575,966,2542,1443,820,2263,1326,959,2285,1143,987,2132,893,984,1879,16151,14721,144,31016
25-29,382,734,1117,535,970,1506,2340,3019,5368,2308,2905,5215,2368,2796,5164,2347,2566,4913,2243,2445,4688,2226,2571,4798,2047,2504,4552,1718,2440,4158,22408,31034,224,53665
30-39,2141,4848,6989,2533,5520,8059,2951,6045,9020,3183,6531,9714,3359,6782,10142,3806,6901,10708,3784,6839,10625,4049,7061,11111,3905,7008,10914,3516,6588,10105,45066,93763,302,139125
40-49,752,1983,2737,876,2332,3210,1062,2637,3707,1277,2849,4127,1419,3155,4574,1811,3277,5090,1860,3524,5384,2171,3800,5971,2048,3742,5793,1993,3837,5831,17973,40872,101,58945
50+,199,491,690,270,618,888,352,730,1085,455,846,1301,553,1025,1578,768,1181,1950,866,1472,2339,1087,1651,2738,1155,1770,2925,1103,1824,2928,7815,14722,38,22575
