"HIV diagnoses in females and rates per 100 000 population, by country and year of diagnosis (2006-2015) and cumulative totals, in EU/EEA and other countries of the WHO European Region",,,,,,,,,,,,,,,,,,,,,,,
,,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,,
Area,Country *,N,rate,N,rate,N,rate,N,rate,N,rate,N,rate,N,rate,N,rate,N,rate,N,rate,Cumulative total**,
EU/EEA,,,,,,,,,,,,,,,,,,,,,,,
West,Austria,86,2.0,79,1.9,90,2.1,68,1.6,67,1.6,71,1.7,63,1.5,45,1.0,55,1.3,31,0.7,2137,
West,Belgium,338,6.3,404,7.5,343,6.3,381,6.9,402,7.3,399,7.1,392,6.9,339,6.0,318,5.6,310,5.4,10365,
Centre,Bulgaria,20,0.5,21,0.5,21,0.5,38,1.0,31,0.8,38,1.0,34,0.9,39,1.0,45,1.2,33,0.9,514,
Centre,Croatia,9,0.4,5,0.2,3,0.1,6,0.3,3,0.1,11,0.5,3,0.1,8,0.4,9,0.4,6,0.3,172,
Centre,Cyprus,14,3.7,15,3.9,13,3.3,12,2.9,7,1.7,15,3.5,9,2.0,8,1.8,7,1.6,8,1.8,266,
Centre,Czech Republic,20,0.4,24,0.5,27,0.5,26,0.5,21,0.4,13,0.2,27,0.5,24,0.4,23,0.4,18,0.3,398,
West,Denmark,71,2.6,82,3.0,81,2.9,57,2.1,74,2.7,74,2.6,54,1.9,55,1.9,60,2.1,72,2.5,1927,
East,Estonia,239,33.1,259,36.0,230,32.1,168,23.5,146,20.5,140,19.7,106,15.0,125,17.8,109,15.6,103,14.7,3038,
West,Finland,57,2.1,51,1.9,42,1.6,66,2.4,54,2.0,60,2.2,45,1.6,55,2.0,43,1.6,43,1.5,968,
West,France,2116,6.5,1995,6.1,2000,6.1,1843,5.6,1880,5.6,1824,5.4,1829,5.4,1818,5.4,1827,5.4,1257,3.7,25206,
West,Germany,497,1.2,448,1.1,462,1.1,455,1.1,396,0.9,416,1.0,452,1.1,578,1.4,656,1.6,747,1.8,11005,
West,Greece,104,1.9,90,1.6,104,1.9,96,1.7,78,1.4,143,2.5,174,3.1,85,1.5,100,1.8,78,1.4,2582,
Centre,Hungary,13,0.2,10,0.2,9,0.2,15,0.3,9,0.2,12,0.2,14,0.3,17,0.3,20,0.4,26,0.5,322,
West,Iceland,3,2.0,7,4.6,3,1.9,9,5.7,7,4.4,11,6.9,6,3.8,3,1.9,2,1.2,2,1.2,95,
West,Ireland,132,6.3,149,6.9,146,6.5,137,6.0,89,3.9,89,3.9,98,4.2,86,3.7,99,4.3,114,4.9,2322,
West,Italy,538,4.3,617,3.9,668,3.5,952,3.2,994,3.3,971,3.2,889,2.9,844,2.7,787,2.5,780,2.5,8968,
East,Latvia,114,9.5,126,10.5,127,10.7,105,9.0,104,9.0,103,9.1,121,10.9,137,12.5,111,10.2,129,12.0,2093,
,Liechtenstein,1,5.6,0,0.0,0,0.0,0,0.0,2,11.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23,
East,Lithuania,22,1.2,32,1.8,30,1.7,49,2.9,28,1.7,32,1.9,46,2.8,52,3.2,51,3.2,42,2.7,518,
West,Luxembourg,16,6.8,14,5.8,11,4.5,18,7.2,16,6.3,14,5.4,18,6.8,13,4.8,29,10.6,12,4.3,376,
West,Malta,8,3.9,6,2.9,11,5.4,9,4.4,2,1.0,4,1.9,7,3.3,6,2.8,4,1.9,8,3.7,75,
West,Netherlands,226,2.7,243,2.9,208,2.5,210,2.5,193,2.3,172,2.0,178,2.1,141,1.7,130,1.5,126,1.5,4784,
West,Norway,97,4.1,82,3.5,117,4.9,99,4.1,85,3.5,79,3.2,76,3.1,75,3.0,68,2.7,76,3.0,1896,
Centre,Poland,174,0.9,156,0.8,152,0.8,162,0.8,155,0.8,159,0.8,159,0.8,147,0.7,185,0.9,142,0.7,3945,
West,Portugal,738,13.5,727,13.3,706,12.9,646,11.8,632,11.5,514,9.3,477,8.7,448,8.2,318,5.8,269,4.9,15042,
Centre,Romania,230,2.1,215,2.0,248,2.3,227,2.2,219,2.1,250,2.4,243,2.4,272,2.7,249,2.4,208,2.0,8876,
Centre,Slovakia,7,0.3,7,0.3,5,0.2,5,0.2,3,0.1,3,0.1,6,0.2,12,0.4,11,0.4,10,0.4,99,
Centre,Slovenia,3,0.3,2,0.2,3,0.3,8,0.8,4,0.4,7,0.7,3,0.3,5,0.5,3,0.3,7,0.7,92,
West,Spain,397,4.4,603,4.9,716,5.0,719,4.3,673,4.0,622,3.7,578,3.0,597,2.5,608,2.6,483,2.0,7165,
West,Sweden,145,3.2,176,3.8,146,3.2,139,3.0,202,4.300000191,169,3.6,175,3.7,163,3.4,198,4.1,171,3.5,4003,
West,United Kingdom,2937,9.5,2640,8.5,2636,8.4,2197,6.9,2038,6.400000095,1782,5.6,1726,5.3,1502,4.6,1546,4.7,1532,4.7,43645,
,total EU-EEA,9372,4.1,9285,4.0,9358,3.9,8922,3.5,8614,3.400000095,8197,3.2,8008,3.1,7699,2.9,7671,2.9,6843,2.6,162917,
Non-EU/EEA,,,,,,,,,,,,,,,,,,,,,,,
Centre,Albania,10,0.7,14,0.9,17,1.2,19,1.3,15,1.0,23,1.6,23,1.6,38,2.6,18,1.2,29,2.0,255,
West,Andorra,1,2.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.7,0,0.0,0,0.0,13,
East,Armenia,25,1.7,32,2.2,32,2.2,53,3.7,51,3.5,67,4.6,70,4.7,77,5.0,117,7.4,89,5.5,693,
East,Azerbaijan,26,0.6,57,1.3,83,1.9,78,1.7,94,2.0,138,3.0,161,3.4,185,3.9,229,4.7,232,4.7,1406,
East,Belarus,342,6.7,450,8.8,427,8.4,510,10.0,506,10.0,575,11.3,564,11.1,731,14.4,759,14.9,910,17.9,8039,
Centre,Bosnia and Herzegovina,2,0.1,0,0.0,2,0.1,0,0.0,0,0.0,4,0.2,2,0.1,6,0.3,,,,,46,
Centre,"Former Yugoslav Republic of Macedonia, the",5,0.5,1,0.1,1,0.1,0,0.0,0,0.0,0,0.0,4,0.4,0,0.0,0,0.0,1,0.1,17,
East,Georgia,78,3.3,98,4.2,103,4.5,112,5.0,133,6.0,124,5.6,149,6.9,118,5.5,148,7.0,163,7.8,1412,
West,Israel,118,3.4,116,3.3,143,4.0,121,3.3,134,3.6,153,4.0,132,3.4,120,3.0,133,3.3,129,3.2,2931,
East,Kazakhstan,451,5.6,580,7.1,679,8.2,685,8.2,732,8.7,791,9.2,839,9.6,931,10.5,1012,11.3,1040,11.4,9107,
East,Kyrgyzstan,63,2.4,115,4.3,182,6.8,182,6.7,168,6.1,192,6.8,295,10.3,211,7.3,279,9.4,287,9.6,2110,
East,Moldova,249,11.5,309,14.4,355,16.6,304,14.3,362,17.1,344,16.3,382,18.1,325,15.4,380,18.0,356,16.8,4282,
West,Monaco,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13,
Centre,Montenegro,2,0.6,1,0.3,3,1.0,2,0.6,0,0.0,1,0.3,1,0.3,0,0.0,3,1.0,2,0.6,30,
East,Russia***,,,,,,,,,26409,34.4,,,,,,,,,,,26409,
West,San Marino,0,0.0,0,0.0,2,12.8,0,0.0,0,0.0,2,12.3,3,17.5,1,5.8,0,0.0,0,0.0,19,
Centre,Serbia,15,0.3,17,0.4,20,0.4,10,0.2,17,0.4,18,0.4,12,0.3,14,0.3,18,0.4,6,0.1,706,
Centre,Serbia excluding Kosovo****,15,0.4,16,0.4,20,0.5,9,0.2,16,0.4,17,0.5,11,0.3,13,0.4,17,0.5,5,0.1,675,
Centre,Kosovo****,,0.0,1,0.1,,0.0,1,0.1,1,0.1,1,0.1,1,0.1,1,0.1,1,0.1,1,0.1,31,
West,Switzerland,254,6.7,222,5.8,203,5.3,180,4.6,160,4.0,132,3.3,150,3.7,151,3.7,123,3.0,122,2.9,10108,
